Dynamic World (Predicted),Water,Trees,Grass,Flooded Veg.,Crops,Shrub & Scrub,Built Area,Bare Ground,Snow & Ice,Recall/User's (%)
Water,30692.0,300.0,0.0,3217.0,21.0,81.0,527.0,33.0,0.0,88.02
Trees,1045.0,71691.0,0.0,16249.0,39.0,2871.0,5693.0,14.0,0.0,73.45
Grass,34.0,180.0,0.0,18.0,358.0,724.0,487.0,0.0,0.0,0.0
Flooded Veg.,218.0,3.0,0.0,726.0,0.0,0.0,3.0,4.0,0.0,76.1
Crops,0.0,350.0,0.0,0.0,9.0,122.0,956.0,3.0,0.0,0.62
Shrub & Scrub,348.0,124.0,0.0,70.0,0.0,73.0,424.0,44.0,0.0,6.74
Built Area,557.0,193.0,0.0,34.0,241.0,102.0,64584.0,1840.0,0.0,95.61
Bare Ground,220.0,1.0,0.0,36.0,0.0,0.0,631.0,2085.0,0.0,70.13
Snow & Ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision/Producer's (%),92.69,98.42,0.0,3.57,1.35,1.84,88.1,51.83,0.0,
