Dynamic World (Predicted),Water,Trees,Grass,Flooded Veg.,Crops,Shrub & Scrub,Built Area,Bare Ground,Snow & Ice,Recall/User's (%)
Water,31598.0,241.0,0.0,2388.0,4.0,93.0,513.0,34.0,0.0,90.61
Trees,1039.0,67206.0,0.0,20559.0,9.0,3053.0,5718.0,18.0,0.0,68.86
Grass,28.0,181.0,0.0,24.0,277.0,802.0,489.0,0.0,0.0,0.0
Flooded Veg.,199.0,3.0,0.0,744.0,0.0,0.0,3.0,5.0,0.0,77.99
Crops,0.0,354.0,0.0,0.0,5.0,128.0,950.0,3.0,0.0,0.35
Shrub & Scrub,349.0,126.0,0.0,77.0,0.0,83.0,406.0,42.0,0.0,7.66
Built Area,573.0,212.0,0.0,46.0,252.0,104.0,63295.0,3069.0,0.0,93.7
Bare Ground,212.0,1.0,0.0,41.0,0.0,0.0,594.0,2125.0,0.0,71.48
Snow & Ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Precision/Producer's (%),92.94,98.36,0.0,3.12,0.91,1.95,87.95,40.12,0.0,
